ausente2_ausente,ausente2_matthei,ausente2_parisi,ausente2_kaiser,ausente2_kast,ausente2_jara,ausente2_otros,ausente2_nulosblancos,nulosblancos2_ausente,nulosblancos2_matthei,nulosblancos2_parisi,nulosblancos2_kaiser,nulosblancos2_kast,nulosblancos2_jara,nulosblancos2_otros,nulosblancos2_nulosblancos,kast2_ausente,kast2_matthei,kast2_parisi,kast2_kaiser,kast2_kast,kast2_jara,kast2_otros,kast2_nulosblancos,jara2_ausente,jara2_matthei,jara2_parisi,jara2_kaiser,jara2_kast,jara2_jara,jara2_otros,jara2_nulosblancos,comuna,n_original,n_consolidado
0.625,0.029,0.011,0.118,0.019,0.036,0.005,0.008,0.015,0.037,0.139,0.049,0.037,0.032,0.004,0.495,0.238,0.809,0.454,0.789,0.848,0.023,0.284,0.485,0.122,0.125,0.396,0.045,0.096,0.909,0.706,0.011,ALGARROBO,46,46
0.474,0.011,0.161,0.204,0.007,0.008,0.348,0.356,0.086,0.01,0.098,0.157,0.014,0.041,0.031,0.39,0.429,0.97,0.473,0.631,0.969,0.014,0.005,0.01,0.012,0.01,0.268,0.008,0.01,0.937,0.616,0.244,ALTO BIOBIO,17,17
0.69,0.005,0.068,0.288,0.013,0.009,0.006,0.056,0.015,0.006,0.146,0.01,0.014,0.016,0.474,0.923,0.016,0.686,0.619,0.693,0.963,0.011,0.005,0.016,0.279,0.303,0.167,0.01,0.009,0.963,0.515,0.005,ALTO DEL CARMEN,13,13
0.886,0.008,0.026,0.058,0.008,0.006,0.009,0.2,0.011,0.101,0.134,0.21,0.008,0.008,0.01,0.386,0.073,0.587,0.562,0.699,0.975,0.011,0.97,0.095,0.029,0.304,0.279,0.033,0.009,0.975,0.01,0.318,ALTO HOSPICIO,187,100
0.882,0.007,0.018,0.011,0.01,0.011,0.312,0.008,0.016,0.009,0.186,0.01,0.012,0.01,0.194,0.494,0.031,0.766,0.502,0.964,0.956,0.023,0.011,0.489,0.071,0.218,0.294,0.016,0.023,0.956,0.483,0.01,ANCUD,100,100
0.714,0.008,0.019,0.119,0.095,0.015,0.005,0.007,0.012,0.01,0.201,0.213,0.013,0.019,0.006,0.102,0.173,0.78,0.296,0.654,0.499,0.132,0.339,0.874,0.101,0.201,0.484,0.015,0.393,0.835,0.65,0.017,ANDACOLLO,29,29
0.253,0.783,0.021,0.218,0.046,0.011,0.004,0.004,0.033,0.006,0.135,0.091,0.013,0.007,0.01,0.137,0.521,0.172,0.686,0.65,0.925,0.015,0.618,0.854,0.193,0.038,0.158,0.041,0.015,0.967,0.367,0.004,ANGOL,123,100
0.964,0.01,0.014,0.01,0.01,0.011,0.008,0.133,0.009,0.115,0.219,0.007,0.008,0.006,0.008,0.419,0.013,0.696,0.443,0.973,0.973,0.009,0.009,0.01,0.014,0.179,0.324,0.01,0.01,0.974,0.975,0.438,ANTOFAGASTA,776,100
0.682,0.015,0.013,0.403,0.012,0.01,0.049,0.007,0.05,0.008,0.088,0.134,0.05,0.017,0.277,0.016,0.252,0.889,0.484,0.451,0.92,0.021,0.67,0.974,0.016,0.088,0.416,0.012,0.018,0.951,0.004,0.003,ANTUCO,12,12
0.897,0.078,0.008,0.008,0.005,0.006,0.005,0.035,0.013,0.214,0.13,0.009,0.01,0.011,0.086,0.387,0.072,0.316,0.617,0.97,0.968,0.022,0.536,0.569,0.019,0.392,0.245,0.013,0.017,0.961,0.373,0.009,ARAUCO,86,86
0.894,0.182,0.019,0.014,0.013,0.027,0.113,0.093,0.014,0.011,0.215,0.011,0.011,0.036,0.113,0.286,0.024,0.53,0.392,0.96,0.963,0.023,0.44,0.259,0.067,0.276,0.374,0.014,0.013,0.914,0.334,0.362,AYSEN,62,62
0.645,0.024,0.032,0.019,0.043,0.029,0.022,0.024,0.05,0.109,0.116,0.017,0.023,0.017,0.081,0.374,0.177,0.606,0.515,0.909,0.913,0.017,0.31,0.228,0.128,0.262,0.337,0.055,0.021,0.936,0.587,0.373,BUIN,227,100
0.869,0.048,0.019,0.008,0.009,0.011,0.008,0.009,0.017,0.045,0.098,0.035,0.013,0.012,0.257,0.683,0.031,0.304,0.616,0.82,0.954,0.02,0.009,0.275,0.083,0.603,0.267,0.137,0.024,0.957,0.725,0.032,CABILDO,47,47
0.884,0.011,0.014,0.009,0.009,0.034,0.011,0.127,0.014,0.006,0.151,0.007,0.008,0.009,0.012,0.623,0.03,0.737,0.626,0.974,0.973,0.018,0.963,0.099,0.072,0.246,0.209,0.01,0.01,0.938,0.013,0.151,CABRERO,71,71
0.955,0.031,0.026,0.007,0.011,0.012,0.2,0.006,0.016,0.109,0.218,0.008,0.008,0.009,0.255,0.117,0.013,0.465,0.53,0.952,0.966,0.009,0.331,0.373,0.016,0.395,0.226,0.032,0.015,0.97,0.214,0.503,CALAMA,339,100
0.914,0.034,0.016,0.009,0.011,0.011,0.329,0.007,0.019,0.2,0.125,0.01,0.011,0.011,0.127,0.319,0.035,0.491,0.644,0.967,0.959,0.022,0.01,0.666,0.033,0.275,0.216,0.014,0.019,0.956,0.534,0.008,CALBUCO,88,88
0.746,0.072,0.045,0.011,0.145,0.013,0.012,0.008,0.008,0.007,0.179,0.061,0.009,0.034,0.013,0.344,0.235,0.741,0.279,0.919,0.835,0.044,0.012,0.334,0.01,0.18,0.497,0.009,0.01,0.909,0.964,0.313,CALDERA,42,42
0.775,0.013,0.044,0.043,0.019,0.014,0.102,0.016,0.065,0.011,0.134,0.026,0.019,0.015,0.019,0.559,0.029,0.746,0.476,0.918,0.952,0.042,0.347,0.013,0.132,0.23,0.346,0.013,0.011,0.93,0.533,0.413,CALERA DE TANGO,57,57
0.823,0.013,0.031,0.019,0.041,0.019,0.167,0.018,0.03,0.011,0.116,0.05,0.137,0.01,0.06,0.365,0.06,0.913,0.573,0.69,0.689,0.021,0.019,0.463,0.087,0.064,0.28,0.241,0.133,0.95,0.754,0.154,CALERA,116,100
0.799,0.007,0.037,0.009,0.009,0.01,0.245,0.007,0.009,0.257,0.178,0.009,0.01,0.009,0.01,0.008,0.013,0.704,0.462,0.968,0.964,0.021,0.011,0.531,0.179,0.032,0.323,0.014,0.017,0.96,0.734,0.454,CALLE LARGA,33,33
0.483,0.005,0.051,0.009,0.354,0.016,0.008,0.006,0.111,0.006,0.037,0.006,0.056,0.027,0.206,0.484,0.384,0.833,0.45,0.9,0.483,0.02,0.78,0.01,0.023,0.156,0.462,0.085,0.108,0.937,0.006,0.5,CANELA,25,25
0.928,0.007,0.021,0.009,0.01,0.008,0.006,0.009,0.013,0.057,0.136,0.01,0.011,0.019,0.006,0.407,0.043,0.831,0.567,0.97,0.963,0.029,0.315,0.307,0.015,0.105,0.276,0.011,0.015,0.944,0.673,0.277,CAÑETE,78,78
0.914,0.01,0.061,0.005,0.008,0.013,0.003,0.005,0.017,0.011,0.171,0.007,0.008,0.013,0.361,0.05,0.043,0.862,0.553,0.981,0.968,0.026,0.006,0.288,0.027,0.116,0.216,0.007,0.016,0.947,0.629,0.657,CARAHUE,63,63
0.61,0.014,0.053,0.05,0.012,0.081,0.42,0.008,0.04,0.042,0.224,0.012,0.014,0.015,0.031,0.236,0.331,0.61,0.172,0.927,0.962,0.024,0.01,0.748,0.019,0.334,0.551,0.011,0.012,0.881,0.54,0.008,CARTAGENA,57,57
0.857,0.033,0.015,0.01,0.013,0.011,0.028,0.012,0.022,0.105,0.124,0.016,0.025,0.017,0.152,0.483,0.096,0.816,0.518,0.955,0.863,0.013,0.098,0.162,0.025,0.046,0.342,0.018,0.098,0.96,0.722,0.342,CASABLANCA,66,66
0.933,0.008,0.015,0.009,0.008,0.008,0.005,0.006,0.018,0.005,0.187,0.058,0.008,0.005,0.093,0.306,0.027,0.866,0.522,0.735,0.973,0.012,0.262,0.48,0.022,0.121,0.276,0.197,0.01,0.975,0.64,0.208,CASTRO,112,100
0.835,0.011,0.015,0.023,0.014,0.008,0.037,0.057,0.03,0.142,0.164,0.008,0.012,0.02,0.759,0.253,0.04,0.282,0.604,0.957,0.959,0.023,0.024,0.226,0.095,0.564,0.217,0.012,0.015,0.948,0.18,0.464,CATEMU,32,32
0.824,0.157,0.015,0.009,0.011,0.009,0.006,0.008,0.011,0.03,0.121,0.01,0.011,0.017,0.006,0.456,0.151,0.582,0.715,0.968,0.962,0.034,0.378,0.3,0.014,0.232,0.149,0.013,0.016,0.939,0.61,0.236,CAUQUENES,102,100
0.907,0.023,0.015,0.012,0.011,0.01,0.054,0.007,0.014,0.136,0.089,0.009,0.011,0.014,0.073,0.529,0.054,0.575,0.435,0.953,0.961,0.017,0.062,0.092,0.025,0.265,0.461,0.026,0.018,0.96,0.812,0.372,CERRILLOS,171,100
0.849,0.03,0.017,0.009,0.01,0.012,0.011,0.246,0.023,0.099,0.085,0.009,0.012,0.017,0.116,0.574,0.042,0.611,0.494,0.879,0.878,0.014,0.354,0.026,0.086,0.26,0.405,0.103,0.1,0.956,0.519,0.154,CERRO NAVIA,277,100
0.903,0.095,0.121,0.024,0.015,0.026,0.63,0.014,0.014,0.009,0.083,0.037,0.009,0.021,0.007,0.4,0.056,0.884,0.742,0.838,0.901,0.019,0.354,0.019,0.027,0.013,0.055,0.101,0.076,0.935,0.01,0.567,CHAITEN,15,15
0.875,0.138,0.019,0.006,0.018,0.033,0.006,0.005,0.015,0.23,0.207,0.011,0.009,0.015,0.006,0.183,0.093,0.432,0.372,0.86,0.934,0.016,0.538,0.186,0.017,0.2,0.401,0.123,0.038,0.936,0.45,0.626,CHAÑARAL,30,30
0.739,0.011,0.013,0.095,0.006,0.105,0.006,0.004,0.017,0.278,0.026,0.104,0.005,0.027,0.031,0.004,0.017,0.505,0.772,0.79,0.981,0.023,0.618,0.991,0.227,0.206,0.189,0.011,0.009,0.845,0.345,0.002,CHANCO,24,24
0.776,0.034,0.013,0.008,0.01,0.026,0.101,0.005,0.009,0.046,0.119,0.008,0.014,0.018,0.327,0.358,0.167,0.738,0.499,0.976,0.963,0.098,0.178,0.432,0.048,0.181,0.369,0.008,0.014,0.858,0.393,0.205,CHEPICA,38,38
0.811,0.035,0.023,0.035,0.011,0.013,0.084,0.038,0.063,0.016,0.167,0.056,0.021,0.012,0.046,0.614,0.095,0.873,0.474,0.68,0.953,0.01,0.007,0.08,0.031,0.075,0.336,0.228,0.016,0.965,0.862,0.269,CHIGUAYANTE,182,100
